ntd_id,agency_name,doing_business_as,state,reporter_type,organization_type,agency_url,match_tier,match_evidence
41120,City of Frankfort,Frankfort Public Transit,KY,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.transit.frankfort.ky.gov/home,no_candidate,
41127,AppalCart,,NC,Rural Reporter,Independent Public Agency or Authority of Transit Service,http://www.appalcart.com,no_candidate,
41136,City of Pigeon Forge,,TN,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.pigeonforgetrolley.org,no_candidate,
41153,Big Bend Transit,,FL,Rural Reporter,Private-Non-Profit Corporation,http://www.bigbendtransit.org,no_candidate,
41157,County of Citrus,,FL,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",www.citruscountytransit.com,registry_name_exact,"registry:citrus-county-transit,citrus-county-transit-2257"
41167,Jackson County,,NC,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.jacksoncountytransit.com/,no_candidate,
41170,Baker Council on Aging,,FL,Rural Reporter,Private-Non-Profit Corporation,http://www.bakercoa.org,no_candidate,
41182,Municipality of Comerio,,PR,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.pr.gov/directorio-municipos/comerio,registry_domain,registry:puerto-rico-ati
41191,Macon County,,NC,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.maconnc.org/transit.html,no_candidate,
41199,Board of County Commissioners of St. Lucie County,Area Regional Transit,FL,Full Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.stlucieco.gov/departments-and-services/area-regional-transit,no_candidate,
42000,Atlanta-Region Transit Link Authority,,GA,Full Reporter,State Government Unit or Department of Transportation,https://atltransit.ga.gov/,weak_shared_token,"registry:atlanta-streetcar,metropolitan-atlanta-rapid-transit-authority-marta"
44913,Eastern Band of Cherokee Indians,,NC,Reduced Reporter,Tribe,http://www.cherokeetransit.com/,no_candidate,
44929,City of Fort Lauderdale,,FL,Full Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.fortlauderdale.gov/laudergo,weak_shared_token,registry:fort-matanzas-ferry
44932,City of Tamarac,,FL,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.tamarac.org/439/Community-Shuttle-Service,no_candidate,
44938,Central Florida Regional Planning Council,,FL,Rural Reporter,"MPO, COG or Other Planning Agency",www.cfrpc.org,weak_shared_token,"registry:central-florida-regional-transit-authority-lynx,florida-department-of-transportation-sunrail,south-florida-regional-transportation-authority-tri-rail"
44941,Municipality of Jayuya,,PR,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",,no_candidate,
44942,Municipality of Coamo,,PR,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",,no_candidate,
44943,Municipality of Vieques,,PR,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",,no_candidate,
44944,City of Scottsville,City of Scottsville Transit,KY,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.cityofscottsville.org/departments/city-transit,no_candidate,
44947,County of Hyde,,NC,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.hydecountync.gov/,no_candidate,
44958,North Carolina Department of Transportation -- Ferry Division,,NC,Rural Reporter,State Government Unit or Department of Transportation,http://www.ncdot.org,weak_shared_token,"registry:cape-lookout-national-seashore,north-carolina-state-university-ncsu,north-carolina-state-university-ncsu-2245"
44976,Municipality of Patillas,,PR,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",,no_candidate,
44980,Hendry Co. BOCC,STREAM,FL,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.hendryfla.net/transit.php,no_candidate,
44984,City of Henderson KY,,KY,Rural Reporter,"City, County or Local Government Unit or Department of Transportation",https://www.hendersonky.gov/199/Mass-Transit,no_candidate,
50001,City of Appleton,Valley Transit,WI,Full Reporter,"City, County or Local Government Unit or Department of Transportation",http://www.myvalleytransit.com,registry_name_exact,"registry:valley-transit-wi,valley-transit-wi-2069"
