id,name,date,grade,score,correctness,freshness,completeness,realtime,days_until_expiry,service_horizon_status
massachusetts-ferry-service,Massachusetts Ferry Service,2026-07-10,F,40.6,67.5,0.0,35.4,,-5670,within_review_threshold
massport,Massport,2026-07-10,B,88.3,91.2,86.7,85.5,,52,within_review_threshold
matbus,MATBUS,2026-07-10,F,41.2,67.5,0.0,37.5,,-1241,within_review_threshold
megabus,Megabus,2026-07-10,D,68.9,65.0,100.0,49.4,,114,within_review_threshold
memphis-area-transit-authority,Memphis Area Transit Authority,2026-07-10,F,27.4,47.5,0.0,21.3,,-1917,within_review_threshold
memphis-area-transit-authority-2352,Memphis Area Transit Authority,2026-07-10,F,40.3,65.5,0.0,37.4,,-487,within_review_threshold
mendocino-transit-authority,Mendocino Transit Authority,2026-07-10,C,78.0,86.0,86.7,59.9,,52,within_review_threshold
mendocino-transit-authority-69,Mendocino Transit Authority,2026-07-10,C,78.0,86.0,86.7,59.9,,52,within_review_threshold
merced-county-transit-the-bus,Merced County Transit (The Bus),2026-07-10,F,54.9,74.0,0.0,49.2,83.3,-67,within_review_threshold
merced-county-transit-the-bus-3117,Merced County Transit (The Bus),2026-07-10,D,65.5,69.0,85.0,45.0,,26837,unusually_distant
merced-county-transit-the-bus-86,Merced County Transit (The Bus),2026-07-10,F,54.9,74.0,0.0,49.2,83.3,-67,within_review_threshold
merrimack-valley-regional-transit-authority-mvrta,Merrimack Valley Regional Transit Authority (MVRTA),2026-07-10,F,48.9,69.0,0.0,59.9,,-4,within_review_threshold
merrimack-valley-regional-transit-authority-mvrta-445,Merrimack Valley Regional Transit Authority (MVRTA),2026-07-10,F,45.4,61.0,0.0,59.9,,-4,within_review_threshold
metra,Metra,2026-07-10,F,34.2,67.5,0.0,15.0,,,unknown
metra-2854,Metra,2026-06-27,F,39.5,79.5,0.0,15.0,,,unknown
metro-houston-2060,METRO Houston,2026-07-10,F,39.1,41.0,0.0,67.8,,-34,within_review_threshold
metro-north-railroad,Metro-North Railroad,2026-07-10,C,73.7,81.0,85.0,74.4,49.0,169,within_review_threshold
metro-ride,Metro Ride,2026-07-10,C,77.8,82.0,100.0,54.3,,175,within_review_threshold
